index,level_0,country,year,ktoe,indicator
523,450,PRT,2011,2208.385,Solid fossil fuels
524,451,ROU,2011,8092.644,Solid fossil fuels
525,452,SRB,2011,8758.448,Solid fossil fuels
526,453,SWE,2011,2159.931,Solid fossil fuels
527,454,SVN,2011,1464.658,Solid fossil fuels
528,455,SVK,2011,3703.541,Solid fossil fuels
529,456,TUR,2011,33100.442,Solid fossil fuels
530,457,UKR,2011,41382.985,Solid fossil fuels
533,458,ALB,2011,0.0,Manufactured gases
534,459,AUT,2011,0.0,Manufactured gases
536,460,BEL,2011,0.0,Manufactured gases
537,461,BGR,2011,0.0,Manufactured gases
538,462,CYP,2011,0.0,Manufactured gases
539,463,CZE,2011,0.0,Manufactured gases
540,464,DEU,2011,0.0,Manufactured gases
541,465,DNK,2011,0.0,Manufactured gases
542,466,EST,2011,0.0,Manufactured gases
544,467,ESP,2011,0.0,Manufactured gases
546,468,FIN,2011,0.0,Manufactured gases
547,469,FRA,2011,0.0,Manufactured gases
549,470,HRV,2011,0.0,Manufactured gases
550,471,HUN,2011,0.0,Manufactured gases
551,472,IRL,2011,0.0,Manufactured gases
552,473,ISL,2011,0.0,Manufactured gases
553,474,ITA,2011,0.0,Manufactured gases
554,475,LTU,2011,0.0,Manufactured gases
555,476,LUX,2011,0.0,Manufactured gases
556,477,LVA,2011,0.0,Manufactured gases
557,478,MDA,2011,0.0,Manufactured gases
558,479,MNE,2011,0.0,Manufactured gases
559,480,MKD,2011,0.0,Manufactured gases
560,481,MLT,2011,0.0,Manufactured gases
561,482,NLD,2011,0.0,Manufactured gases
562,483,NOR,2011,0.0,Manufactured gases
563,484,POL,2011,0.0,Manufactured gases
564,485,PRT,2011,0.0,Manufactured gases
565,486,ROU,2011,0.0,Manufactured gases
566,487,SRB,2011,0.0,Manufactured gases
567,488,SWE,2011,0.0,Manufactured gases
568,489,SVN,2011,0.0,Manufactured gases
569,490,SVK,2011,0.0,Manufactured gases
570,491,TUR,2011,0.0,Manufactured gases
571,492,UKR,2011,0.0,Manufactured gases
574,493,ALB,2011,280.482,Electricity
575,494,AUT,2011,705.018,Electricity
577,495,BEL,2011,218.143,Electricity
578,496,BGR,2011,-916.681,Electricity
579,497,CYP,2011,0.0,Electricity
580,498,CZE,2011,-1465.52,Electricity
581,499,DEU,2011,-323.732,Electricity
582,500,DNK,2011,113.5,Electricity
583,501,EST,2011,-306.277,Electricity
585,502,ESP,2011,-523.732,Electricity
587,503,FIN,2011,1191.058,Electricity
588,504,FRA,2011,-4850.645,Electricity
590,505,HRV,2011,615.219,Electricity
591,506,HUN,2011,571.195,Electricity
592,507,IRL,2011,42.141,Electricity
593,508,ISL,2011,0.0,Electricity
594,509,ITA,2011,3932.244,Electricity
595,510,LTU,2011,579.45,Electricity
596,511,LUX,2011,385.379,Electricity
597,512,LVA,2011,107.051,Electricity
598,513,MDA,2011,270.507,Electricity
599,514,MNE,2011,134.308,Electricity
600,515,MKD,2011,230.095,Electricity
601,516,MLT,2011,0.0,Electricity
602,517,NLD,2011,781.513,Electricity
603,518,NOR,2011,-264.402,Electricity
604,519,POL,2011,-450.731,Electricity
605,520,PRT,2011,241.874,Electricity
606,521,ROU,2011,-163.887,Electricity
607,522,SRB,2011,-23.904,Electricity
608,523,SWE,2011,-621.926,Electricity
609,524,SVN,2011,-117.971,Electricity
610,525,SVK,2011,62.511,Electricity
611,526,TUR,2011,78.332,Electricity
612,527,UKR,2011,-540.843,Electricity
615,528,ALB,2011,12.016,Natural gas
616,529,AUT,2011,7666.543,Natural gas
618,530,BEL,2011,14450.002,Natural gas
619,531,BGR,2011,2630.269,Natural gas
620,532,CYP,2011,0.0,Natural gas
621,533,CZE,2011,6809.157,Natural gas
622,534,DEU,2011,69595.685,Natural gas
623,535,DNK,2011,3708.54,Natural gas
624,536,EST,2011,503.289,Natural gas
626,537,ESP,2011,28935.74,Natural gas
628,538,FIN,2011,3359.951,Natural gas
629,539,FRA,2011,36989.711,Natural gas
631,540,HRV,2011,2570.228,Natural gas
632,541,HUN,2011,9353.934,Natural gas
633,542,IRL,2011,4137.314,Natural gas
634,543,ISL,2011,0.0,Natural gas
635,544,ITA,2011,63814.144,Natural gas
636,545,LTU,2011,2718.035,Natural gas
637,546,LUX,2011,1032.276,Natural gas
