geo\TIME_PERIOD,indic,Date,GWH
FR,Consumption,2008-08,32868.0
HR,Consumption,2008-08,
HU,Consumption,2008-08,3328.0
IE,Consumption,2008-08,2165.0
IS,Consumption,2008-08,
IT,Consumption,2008-08,26398.0
LT,Consumption,2008-08,807.0
LU,Consumption,2008-08,504.0
LV,Consumption,2008-08,558.0
ME,Consumption,2008-08,
MK,Consumption,2008-08,
MT,Consumption,2008-08,
NL,Consumption,2008-08,9274.0
NO,Consumption,2008-08,8272.0
PL,Consumption,2008-08,10778.0
PT,Consumption,2008-08,3015.0
RO,Consumption,2008-08,4380.0
RS,Consumption,2008-08,
SE,Consumption,2008-08,10041.0
SI,Consumption,2008-08,1063.0
SK,Consumption,2008-08,2020.0
TR,Consumption,2008-08,
UK,Consumption,2008-08,28800.0
XK,Consumption,2008-08,
AL,Imports,2008-08,
AT,Imports,2008-08,826.0
BA,Imports,2008-08,
BE,Imports,2008-08,1495.0
BG,Imports,2008-08,284.0
CY,Imports,2008-08,0.0
CZ,Imports,2008-08,592.0
DE,Imports,2008-08,3877.0
DK,Imports,2008-08,1252.0
EE,Imports,2008-08,6.0
EL,Imports,2008-08,374.0
ES,Imports,2008-08,501.0
EU27_2020,Imports,2008-08,
FI,Imports,2008-08,1335.0
FR,Imports,2008-08,509.0
HR,Imports,2008-08,
HU,Imports,2008-08,900.0
IE,Imports,2008-08,59.0
IS,Imports,2008-08,
IT,Imports,2008-08,2844.0
LT,Imports,2008-08,790.0
LU,Imports,2008-08,525.0
LV,Imports,2008-08,444.0
ME,Imports,2008-08,
MK,Imports,2008-08,
MT,Imports,2008-08,
NL,Imports,2008-08,2333.0
NO,Imports,2008-08,129.0
PL,Imports,2008-08,532.0
PT,Imports,2008-08,711.0
RO,Imports,2008-08,93.0
RS,Imports,2008-08,
SE,Imports,2008-08,1194.0
SI,Imports,2008-08,403.0
SK,Imports,2008-08,494.0
TR,Imports,2008-08,
UK,Imports,2008-08,1289.0
XK,Imports,2008-08,
AL,Production,2008-08,
AT,Production,2008-08,
BA,Production,2008-08,
BE,Production,2008-08,
BG,Production,2008-08,
CY,Production,2008-08,
CZ,Production,2008-08,
DE,Production,2008-08,
DK,Production,2008-08,
EE,Production,2008-08,
EL,Production,2008-08,
ES,Production,2008-08,
EU27_2020,Production,2008-08,
FI,Production,2008-08,
FR,Production,2008-08,
HR,Production,2008-08,
HU,Production,2008-08,
IE,Production,2008-08,
IS,Production,2008-08,
IT,Production,2008-08,
LT,Production,2008-08,
LU,Production,2008-08,
LV,Production,2008-08,
ME,Production,2008-08,
MK,Production,2008-08,
MT,Production,2008-08,
NL,Production,2008-08,
NO,Production,2008-08,
PL,Production,2008-08,
PT,Production,2008-08,
RO,Production,2008-08,
RS,Production,2008-08,
SE,Production,2008-08,
SI,Production,2008-08,
SK,Production,2008-08,
TR,Production,2008-08,
UK,Production,2008-08,
XK,Production,2008-08,
AL,Consumption,2008-09,
AT,Consumption,2008-09,5343.0
BA,Consumption,2008-09,
BE,Consumption,2008-09,7142.0
BG,Consumption,2008-09,2480.0
CY,Consumption,2008-09,431.0
CZ,Consumption,2008-09,5080.0
DE,Consumption,2008-09,41910.0
DK,Consumption,2008-09,2848.0
EE,Consumption,2008-09,689.0
EL,Consumption,2008-09,4526.0
ES,Consumption,2008-09,21567.0
