index,Date,Country,Temperature
8316,2013-01,HRV,5.0
8317,2013-02,HRV,4.0
8318,2013-03,HRV,7.0
8319,2013-04,HRV,13.0
8320,2013-05,HRV,16.0
8321,2013-06,HRV,20.0
8322,2013-07,HRV,24.0
8323,2013-08,HRV,23.0
8324,2013-09,HRV,18.0
8325,2013-10,HRV,15.0
8326,2013-11,HRV,10.0
8327,2013-12,HRV,7.0
8328,2014-01,HRV,8.0
8329,2014-02,HRV,8.0
8330,2014-03,HRV,10.0
8331,2014-04,HRV,13.0
8332,2014-05,HRV,15.0
8333,2014-06,HRV,20.0
8334,2014-07,HRV,22.0
8335,2014-08,HRV,21.0
8336,2014-09,HRV,17.0
8337,2014-10,HRV,15.0
8338,2014-11,HRV,12.0
8339,2014-12,HRV,7.0
8340,2015-01,HRV,6.0
8341,2015-02,HRV,5.0
8342,2015-03,HRV,8.0
8343,2015-04,HRV,12.0
8344,2015-05,HRV,17.0
8345,2015-06,HRV,21.0
8346,2015-07,HRV,25.0
8347,2015-08,HRV,24.0
8348,2015-09,HRV,19.0
8349,2015-10,HRV,13.0
8350,2015-11,HRV,10.0
8351,2015-12,HRV,7.0
8352,2016-01,HRV,5.0
8353,2016-02,HRV,8.0
8354,2016-03,HRV,8.0
8355,2016-04,HRV,13.0
8356,2016-05,HRV,16.0
8357,2016-06,HRV,21.0
8358,2016-07,HRV,24.0
8359,2016-08,HRV,22.0
8360,2016-09,HRV,19.0
8361,2016-10,HRV,13.0
8362,2016-11,HRV,9.0
8363,2016-12,HRV,5.0
8364,2017-01,HRV,0.0
8365,2017-02,HRV,7.0
8366,2017-03,HRV,11.0
8367,2017-04,HRV,12.0
8368,2017-05,HRV,17.0
8369,2017-06,HRV,23.0
8370,2017-07,HRV,24.0
8371,2017-08,HRV,25.0
8372,2017-09,HRV,17.0
8373,2017-10,HRV,14.0
8374,2017-11,HRV,9.0
8375,2017-12,HRV,6.0
8376,2018-01,HRV,7.0
8377,2018-02,HRV,3.0
8378,2018-03,HRV,7.0
8379,2018-04,HRV,16.0
8380,2018-05,HRV,19.0
8381,2018-06,HRV,21.0
8382,2018-07,HRV,23.0
8383,2018-08,HRV,24.0
8384,2018-09,HRV,19.0
8385,2018-10,HRV,16.0
8386,2018-11,HRV,10.0
8387,2018-12,HRV,6.0
8388,2019-01,HRV,3.0
8389,2019-02,HRV,7.0
8390,2019-03,HRV,10.0
8391,2019-04,HRV,13.0
8392,2019-05,HRV,14.0
8393,2019-06,HRV,23.0
8394,2019-07,HRV,23.0
8395,2019-08,HRV,24.0
8396,2019-09,HRV,19.0
8397,2019-10,HRV,15.0
8398,2019-11,HRV,12.0
8399,2019-12,HRV,7.0
8400,2020-01,HRV,5.0
8401,2020-02,HRV,8.0
8402,2020-03,HRV,9.0
8403,2020-04,HRV,13.0
8404,2020-05,HRV,16.0
8405,2020-06,HRV,20.0
8406,2020-07,HRV,23.0
8407,2020-08,HRV,24.0
8408,2020-09,HRV,19.0
8409,2020-10,HRV,14.0
8410,2020-11,HRV,9.0
8411,2020-12,HRV,7.0
8412,2021-01,HRV,4.0
8413,2021-02,HRV,7.0
8414,2021-03,HRV,7.0
8415,2021-04,HRV,10.0
8416,2021-05,HRV,15.0
8417,2021-06,HRV,23.0
8418,2021-07,HRV,24.0
8419,2021-08,HRV,23.0
8420,2021-09,HRV,19.0
8421,2021-10,HRV,12.0
8422,2021-11,HRV,10.0
8423,2021-12,HRV,6.0
8424,2022-01,HRV,5.0
8425,2022-02,HRV,7.0
8426,2022-03,HRV,7.0
8427,2022-04,HRV,11.0
8428,2022-05,HRV,18.0
8429,2022-06,HRV,23.0
8430,2022-07,HRV,25.0
8431,2022-08,HRV,24.0
8432,2022-09,HRV,18.0
8433,2022-10,HRV,17.0
8434,2022-11,HRV,10.0
8435,2022-12,HRV,8.0
8436,2023-01,HRV,7.0
8437,2023-02,HRV,6.0
8438,2023-03,HRV,10.0
8439,2023-04,HRV,11.0
8440,2023-05,HRV,16.0
8441,2023-06,HRV,20.0
8442,2023-07,HRV,24.0
8443,2023-08,HRV,24.0
11372,2000-01,CYP,10.0
11373,2000-02,CYP,11.0
11374,2000-03,CYP,13.0
11375,2000-04,CYP,18.0
11376,2000-05,CYP,21.0
