,"freq,nrg_bal,siec,uni",",geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 "
127,"A,NRGSUP,G3000,KTOE,BG	2300.370 	2630.269 	2451.170 	2397.726 	2362.603 	2594.771 	2686.560 	2762.258 	2612.142 	2441.818 	2515.152 	2840.943 ",
128,"A,NRGSUP,G3000,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
129,"A,NRGSUP,G3000,KTOE,CZ	8069.540 	6809.157 	6856.105 	6946.410 	6182.115 	6482.760 	7016.257 	7200.989 	6819.105 	7158.190 	7276.103 	7796.656 ",
130,"A,NRGSUP,G3000,KTOE,DE	75904.420 	69595.685 	69819.018 	73101.739 	63374.143 	65154.093 	70329.903 	75341.894 	73552.197 	75620.410 	74599.950 	78103.189 ",
131,"A,NRGSUP,G3000,KTOE,DK	4422.026 	3708.540 	3484.462 	3315.936 	2804.025 	2854.022 	2879.115 	2748.847 	2674.472 	2529.247 	2112.236 	1933.425 ",
132,"A,NRGSUP,G3000,KTOE,EE	562.511 	503.289 	545.400 	554.901 	435.555 	390.456 	428.267 	405.958 	413.613 	380.173 	348.002 	394.223 ",
133,"A,NRGSUP,G3000,KTOE,EL	3234.465 	3972.260 	3662.071 	3236.313 	2484.301 	2676.951 	3489.773 	4203.668 	4117.235 	4489.252 	4928.498 	5448.650 ",
134,"A,NRGSUP,G3000,KTOE,ES	31129.504 	28935.740 	28574.705 	26162.987 	23666.644 	24538.550 	25040.064 	27266.758 	27080.954 	30896.840 	27915.389 	29416.765 ",
135,"A,NRGSUP,G3000,KTOE,EU27_2020	362842.244 	333517.253 	327417.937 	321383.735 	283520.277 	296076.643 	313353.300 	330995.800 	324831.514 	335057.644 	326993.897 	340028.008 ",
136,"A,NRGSUP,G3000,KTOE,FI	3837.080 	3359.951 	3005.077 	2856.394 	2513.221 	2236.264 	2058.489 	1932.375 	2176.647 	2132.024 	2115.845 	2132.562 ",
137,"A,NRGSUP,G3000,KTOE,FR	42617.698 	36989.711 	38215.216 	38816.126 	32595.314 	35040.211 	38288.859 	38491.580 	36834.380 	37542.603 	34894.962 	37008.937 ",
138,"A,NRGSUP,G3000,KTOE,GE	: 	: 	: 	1649.826 	1883.779 	2075.227 	1950.892 	2054.956 	2045.301 	2317.363 	2325.664 	2410.695 ",
139,"A,NRGSUP,G3000,KTOE,HR	2632.352 	2570.228 	2413.242 	2281.857 	2019.411 	2081.900 	2170.532 	2493.265 	2292.207 	2405.969 	2525.202 	2429.218 ",
140,"A,NRGSUP,G3000,KTOE,HU	9815.499 	9353.934 	8376.956 	7704.063 	6981.621 	7489.854 	8027.728 	8541.831 	8273.796 	8464.316 	8764.381 	9295.271 ",
141,"A,NRGSUP,G3000,KTOE,IE	4701.814 	4137.314 	4031.367 	3852.828 	3732.229 	3758.965 	4246.671 	4312.570 	4487.602 	4560.102 	4554.664 	4376.852 ",
142,"A,NRGSUP,G3000,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
143,"A,NRGSUP,G3000,KTOE,IT	68056.664 	63814.144 	61355.610 	57386.715 	50706.083 	55301.505 	58079.579 	61549.023 	59513.398 	60949.061 	58285.821 	62430.445 ",
144,"A,NRGSUP,G3000,KTOE,LT	2491.788 	2718.035 	2654.041 	2164.510 	2064.510 	2067.476 	1841.595 	1921.474 	1775.688 	1864.400 	1971.754 	1876.279 ",
